"Signal ID","Datetime","Event Code", "Event Parameter"

7076,2018-02-08 06:26:40.8000000,89,8
7076,2018-02-28 23:59:43.6000000,173,2
7076,2018-02-28 23:59:43.5000000,81,2
7076,2018-02-28 23:59:33.8000000,82,2
7076,2018-02-28 23:59:33.7000000,81,4
7076,2018-02-28 23:59:09.7000000,82,4
7076,2018-02-28 23:59:09.5000000,81,2
7076,2018-02-28 23:59:06.4000000,82,2
7076,2018-02-28 23:59:06.3000000,81,2
7076,2018-02-28 23:58:29.5000000,82,2
7076,2018-02-28 23:58:29.4000000,81,2
7076,2018-02-28 23:57:57.2000000,82,2
7076,2018-02-28 23:57:57.1000000,81,4
7076,2018-02-28 23:57:52.6000000,82,4
7076,2018-02-28 23:57:52.5000000,81,2
7076,2018-02-28 23:57:45.3000000,82,2
7076,2018-02-28 23:57:45.2000000,81,2
7076,2018-02-28 23:56:46.4000000,82,2
7076,2018-02-28 23:56:46.3000000,81,2
7076,2018-02-28 23:56:42.0000000,82,2
7076,2018-02-28 23:56:41.8000000,81,4
7076,2018-02-28 23:56:13.6000000,82,4
7076,2018-02-28 23:56:13.4000000,81,2
